Symbol   Prob         -log2(P)     -log2(P)*P       Codeword                       CodeLength   AVG_Length
-38      0.000565     10.7905      0.0061           10001111111                    11           0.006210
-37      0.000698     10.4843      0.0073           0001100101                     10           0.006981
-36      0.000652     10.5821      0.0069           0001001011                     10           0.006523
-35      0.000740     10.4001      0.0077           0010101010                     10           0.007401
-34      0.000813     10.2653      0.0083           0100101101                     10           0.008125
-33      0.000839     10.2186      0.0086           0100101111                     10           0.008392
-32      0.000858     10.1862      0.0087           0110001000                     10           0.008583
-31      0.000954     10.0342      0.0096           1000000110                     10           0.009537
-30      0.001247     9.6469       0.0120           000100100                      9            0.011227
-29      0.001244     9.6513       0.0120           1101110011                     10           0.012436
-28      0.001358     9.5243       0.0129           000101011                      9            0.012222
-27      0.001461     9.4188       0.0138           001010100                      9            0.013149
-26      0.001575     9.3100       0.0147           010010011                      9            0.014179
-25      0.001545     9.3382       0.0144           001010111                      9            0.013905
-24      0.001808     9.1113       0.0165           011000101                      9            0.016273
-23      0.002052     8.9285       0.0183           100010111                      9            0.018471
-22      0.002033     8.9420       0.0182           100010110                      9            0.018299
-21      0.002365     8.7239       0.0206           101011011                      9            0.021286
-20      0.002632     8.5695       0.0226           00010100                       8            0.021057
-19      0.002739     8.5122       0.0233           00011000                       8            0.021912
-18      0.003124     8.3223       0.0260           01001000                       8            0.024994
-17      0.003464     8.1735       0.0283           01001111                       8            0.027710
-16      0.004021     7.9583       0.0320           10001010                       8            0.032166
-15      0.004662     7.7450       0.0361           10101100                       8            0.037292
-14      0.005119     7.6098       0.0390           0001000                        7            0.035835
-13      0.005886     7.4085       0.0436           0010100                        7            0.041203
-12      0.006989     7.1608       0.0500           0110000                        7            0.048920
-11      0.008297     6.9132       0.0574           1000110                        7            0.058079
-10      0.010254     6.6077       0.0678           1101111                        7            0.071777
-9       0.012424     6.3307       0.0787           001011                         6            0.074547
-8       0.015343     6.0263       0.0925           100001                         6            0.092056
-7       0.020138     5.6340       0.1135           110110                         6            0.120827
-6       0.025780     5.2776       0.1361           01000                          5            0.128899
-5       0.033649     4.8933       0.1647           10100                          5            0.168247
-4       0.042637     4.5518       0.1941           0000                           4            0.170547
-3       0.054310     4.2026       0.2282           0101                           4            0.217239
-2       0.067009     3.8995       0.2613           1001                           4            0.268036
-1       0.076832     3.7022       0.2844           1100                           4            0.307327
0        0.084934     3.5575       0.3022           1111                           4            0.339737
1        0.080147     3.6412       0.2918           1110                           4            0.320587
2        0.071468     3.8066       0.2720           1011                           4            0.285873
3        0.060360     4.0503       0.2445           0111                           4            0.241440
4        0.048866     4.3550       0.2128           0011                           4            0.195465
5        0.037937     4.7202       0.1791           11010                          5            0.189686
6        0.029854     5.0659       0.1512           01101                          5            0.149269
7        0.022930     5.4466       0.1249           00100                          5            0.114651
8        0.017784     5.8133       0.1034           101010                         6            0.106705
9        0.014374     6.1204       0.0880           011001                         6            0.086243
10       0.011642     6.4245       0.0748           000111                         6            0.069855
11       0.009476     6.7216       0.0637           1010111                        7            0.066330
12       0.007675     7.0256       0.0539           1000001                        7            0.053726
13       0.006580     7.2476       0.0477           0100110                        7            0.046062
14       0.005451     7.5192       0.0410           0001011                        7            0.038158
15       0.004982     7.6491       0.0381           11011101                       8            0.039856
16       0.003983     7.9721       0.0317           10001000                       8            0.031860
17       0.003582     8.1250       0.0291           01100011                       8            0.028656
18       0.003265     8.2585       0.0270           01001010                       8            0.026123
19       0.002800     8.4804       0.0237           00011010                       8            0.022400
20       0.002598     8.5885       0.0223           00010011                       8            0.020782
21       0.002018     8.9529       0.0181           100010011                      9            0.018162
22       0.002159     8.8553       0.0191           100011101                      9            0.019432
23       0.001812     9.1082       0.0165           100000000                      9            0.016308
24       0.001812     9.1082       0.0165           100000001                      9            0.016308
25       0.001530     9.3525       0.0143           001010110                      9            0.013767
26       0.001389     9.4922       0.0132           000110011                      9            0.012497
27       0.001404     9.4764       0.0133           000110110                      9            0.012634
28       0.001144     9.7712       0.0112           1010110100                     10           0.011444
29       0.001114     9.8102       0.0109           1000111110                     10           0.011139
30       0.001102     9.8251       0.0108           1000111101                     10           0.011024
31       0.000851     10.1991      0.0087           0100111010                     10           0.008507
32       0.000942     10.0516      0.0095           1000000101                     10           0.009422
33       0.000847     10.2056      0.0086           0100111001                     10           0.008469
34       0.000782     10.3205      0.0081           0100100101                     10           0.007820
35       0.000751     10.3779      0.0078           0010101011                     10           0.007515
36       0.000618     10.6601      0.0066           11011100100                    11           0.006798
37       0.000622     10.6513      0.0066           11011100101                    11           0.006840
38       0.000538     10.8604      0.0058           10001110011                    11           0.005917
39       0.000553     10.8201      0.0060           10001111001                    11           0.006084
40       0.000587     10.7332      0.0063           10101101010                    11           0.006462
41       0.000423     11.2056      0.0047           01001110110                    11           0.004658
42       0.000458     11.0931      0.0051           10000001000                    11           0.005035
43       0.000416     11.2318      0.0047           01001110000                    11           0.004574
44       0.000397     11.2996      0.0045           01001011000                    11           0.004364
45       0.000343     11.5081      0.0040           00011011100                    11           0.003777
46       0.000359     11.4454      0.0041           00011011110                    11           0.003944
47       0.000343     11.5081      0.0040           00011001000                    11           0.003777
48       0.000336     11.5406      0.0039           00010101001                    11           0.003693
49       0.000305     11.6781      0.0036           110111000110                   12           0.003662
50       0.000256     11.9339      0.0031           100010010111                   12           0.003067
51       0.000244     12.0000      0.0029           100000011111                   12           0.002930
52       0.000256     11.9339      0.0031           100010010110                   12           0.003067
53       0.000267     11.8707      0.0032           100011110000                   12           0.003204
54       0.000233     12.0693      0.0028           100000011100                   12           0.002792
55       0.000217     12.1671      0.0026           011000100110                   12           0.002609
56       0.000229     12.0931      0.0028           011000100111                   12           0.002747
57       0.000153     12.6781      0.0019           1101110001110                  13           0.001984
58       0.000134     12.8707      0.0017           1000111001001                  13           0.001736
59       0.000137     12.8301      0.0018           1000111100011                  13           0.001785
60       0.000149     12.7146      0.0019           1010110101101                  13           0.001934
61       0.000107     13.1926      0.0014           0100111000111                  13           0.001389
62       0.000103     13.2451      0.0014           0100101110011                  13           0.001339
63       0.000141     12.7905      0.0018           1000111111011                  13           0.001835
64       0.000103     13.2451      0.0014           0100101100110                  13           0.001339
65       0.000130     12.9125      0.0017           1000111001000                  13           0.001686
66       0.000107     13.1926      0.0014           0100111011101                  13           0.001389
67       0.000084     13.5406      0.0011           0001010101001                  13           0.001091
68       0.000130     12.9125      0.0017           1000111000111                  13           0.001686
69       0.000092     13.4150      0.0012           0001101111101                  13           0.001190
70       0.000084     13.5406      0.0011           0001010101011                  13           0.001091
71       0.000050     14.2996      0.0007           01001001001110                 14           0.000694
72       0.000061     14.0000      0.0009           10000001111011                 14           0.000854
73       0.000122     13.0000      0.0016           1000000111100                  13           0.001587
74       0.000065     13.9125      0.0009           10001110001010                 14           0.000908
75       0.000038     14.6781      0.0006           110111000101100                15           0.000572
76       0.000038     14.6781      0.0006           110111000101101                15           0.000572
77       0.000042     14.5406      0.0006           00010101010000                 14           0.000587
78       0.000057     14.0931      0.0008           10000001110110                 14           0.000801
79       0.000050     14.2996      0.0007           01001001001111                 14           0.000694
80       0.000050     14.2996      0.0007           01001001001010                 14           0.000694
81       0.000046     14.4150      0.0007           00011011101110                 14           0.000641
82       0.000038     14.6781      0.0006           00010010100000                 14           0.000534
83       0.000072     13.7521      0.0010           10101101011000                 14           0.001015
84       0.000065     13.9125      0.0009           10001001010011                 14           0.000908
85       0.000027     15.1926      0.0004           010011100011011                15           0.000401
86       0.000031     15.0000      0.0005           100010010001001                15           0.000458
87       0.000034     14.8301      0.0005           100011110001011                15           0.000515
88       0.000046     14.4150      0.0007           00011011111100                 14           0.000641
89       0.000031     15.0000      0.0005           100010010100010                15           0.000458
90       0.000053     14.1926      0.0008           01001110001100                 14           0.000748
91       0.000019     15.6781      0.0003           1101110000111101               16           0.000305
